run_id,profile,workload,input_tokens,output_tokens,max_concurrency,requests,start_iso,end_iso,start_epoch_ms,end_epoch_ms,status,result_file,telemetry_file,note
expanded-250w-v2-20260731,baseline,decode,1024,8192,1,3,2026-07-31T18:38:11.302+08:00,2026-07-31T18:48:25.039+08:00,1785494291304,1785494905036,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-1024-8192-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,4096,1024,1,3,2026-07-31T18:48:25.085+08:00,2026-07-31T18:50:06.227+08:00,1785494905087,1785495006226,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-4096-1024-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,4096,4096,1,3,2026-07-31T18:50:06.260+08:00,2026-07-31T18:55:27.783+08:00,1785495006262,1785495327781,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-4096-4096-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,4096,8192,1,3,2026-07-31T18:55:27.818+08:00,2026-07-31T19:05:48.821+08:00,1785495327820,1785495948819,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-4096-8192-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,8192,1024,1,3,2026-07-31T19:05:48.863+08:00,2026-07-31T19:07:30.748+08:00,1785495948865,1785496050746,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-8192-1024-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,8192,4096,1,3,2026-07-31T19:07:30.780+08:00,2026-07-31T19:12:57.674+08:00,1785496050782,1785496377672,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-8192-4096-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,8192,8192,1,3,2026-07-31T19:12:57.717+08:00,2026-07-31T19:23:25.382+08:00,1785496377719,1785497005380,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-8192-8192-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,20480,1024,1,3,2026-07-31T19:23:25.424+08:00,2026-07-31T19:25:19.936+08:00,1785497005426,1785497119934,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-baseline-official-decode-20480-1024-c1.jsonl,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,official;flush-cache-required
expanded-250w-v2-20260731,baseline,decode,20480,4096,1,0,2026-07-31T19:25:19.972+08:00,2026-07-31T19:25:19.972+08:00,1785497119974,1785497119974,skipped-capacity,,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,required-total-tokens-24576-not-supported-by-capacity-24576
expanded-250w-v2-20260731,baseline,decode,20480,8192,1,0,2026-07-31T19:25:19.976+08:00,2026-07-31T19:25:19.976+08:00,1785497119978,1785497119978,skipped-capacity,,results/telemetry/expanded-250w-v2-20260731/power-baseline-20260731-182654-117.csv,required-total-tokens-28672-not-supported-by-capacity-24576
expanded-250w-v2-20260731,mtp-c4,mixed,2048,512,4,20,2026-07-31T19:27:04.245+08:00,2026-07-31T19:28:15.934+08:00,1785497224246,1785497295932,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-c4-official-mixed-2048-512-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv,official;flush-cache-required
expanded-250w-v2-20260731,mtp-c4,mixed,2048,1024,4,20,2026-07-31T19:28:15.976+08:00,2026-07-31T19:30:00.277+08:00,1785497295978,1785497400274,passed,results/raw/expanded-250w-v2-20260731/expanded-250w-v2-20260731-mtp-c4-official-mixed-2048-1024-c4.jsonl,results/telemetry/expanded-250w-v2-20260731/power-mtp-c4-20260731-192526-296.csv,official;flush-cache-required
